CustomerID,Lookalikes
C0001,"[('C0137', 0.99936), ('C0152', 0.995658), ('C0121', 0.993012)]"
C0002,"[('C0029', 0.999638), ('C0199', 0.998867), ('C0010', 0.998831)]"
C0003,"[('C0005', 0.999894), ('C0178', 0.999565), ('C0144', 0.999217)]"
C0004,"[('C0067', 0.999991), ('C0021', 0.999658), ('C0075', 0.999288)]"
C0005,"[('C0003', 0.999894), ('C0073', 0.999495), ('C0063', 0.999259)]"
C0006,"[('C0079', 0.999983), ('C0117', 0.998408), ('C0196', 0.992431)]"
C0007,"[('C0085', 0.9998), ('C0140', 0.997813), ('C0070', 0.994899)]"
C0008,"[('C0084', 0.995716), ('C0194', 0.993449), ('C0154', 0.988904)]"
C0009,"[('C0077', 0.999832), ('C0032', 0.99799), ('C0002', 0.997655)]"
C0010,"[('C0029', 0.99977), ('C0025', 0.999391), ('C0002', 0.998831)]"
C0011,"[('C0183', 0.999829), ('C0048', 0.999828), ('C0016', 0.999781)]"
C0012,"[('C0136', 0.999746), ('C0102', 0.999737), ('C0155', 0.997838)]"
C0013,"[('C0045', 0.999985), ('C0143', 0.999934), ('C0041', 0.999303)]"
C0014,"[('C0128', 0.998458), ('C0058', 0.995427), ('C0151', 0.994936)]"
C0015,"[('C0132', 0.999697), ('C0036', 0.999167), ('C0035', 0.998352)]"
C0016,"[('C0048', 0.999997), ('C0183', 0.999997), ('C0064', 0.999934)]"
C0017,"[('C0162', 0.999736), ('C0113', 0.999619), ('C0093', 0.99831)]"
C0018,"[('C0200', 1.0), ('C0170', 0.999999), ('C0182', 0.999999)]"
C0019,"[('C0172', 0.999996), ('C0116', 0.988731), ('C0034', 0.955837)]"
C0020,"[('C0110', 0.9995), ('C0042', 0.996857), ('C0129', 0.996071)]"
